,기간,자치구,총전입,총전출
401,2017년06월,노원구,"4,837","6,359"
402,2017년07월,노원구,"4,952","6,434"
403,2017년08월,노원구,"5,789","7,524"
404,2017년09월,노원구,"5,576","7,038"
405,2017년10월,노원구,"4,820","6,072"
406,2017년11월,노원구,"4,804","6,312"
407,2017년12월,노원구,"4,550","6,008"
408,2018년01월,노원구,"4,954","6,133"
409,2018년02월,노원구,"6,088","7,310"
410,2018년03월,노원구,"6,787","6,952"
411,2018년04월,노원구,"4,778","5,714"
412,2018년05월,노원구,"5,028","5,878"
413,2018년06월,노원구,"4,513","5,340"
414,2018년07월,노원구,"4,647","5,633"
415,2018년08월,노원구,"4,909","5,765"
416,2018년09월,노원구,"3,907","4,546"
417,2018년10월,노원구,"5,734","6,574"
418,2018년11월,노원구,"5,583","6,733"
419,2018년12월,노원구,"4,939","6,170"
420,2014년01월,은평구,"5,341","5,909"
421,2014년02월,은평구,"6,576","7,429"
422,2014년03월,은평구,"6,956","7,528"
423,2014년04월,은평구,"6,948","7,403"
424,2014년05월,은평구,"6,669","7,028"
425,2014년06월,은평구,"6,039","6,406"
426,2014년07월,은평구,"5,701","6,400"
427,2014년08월,은평구,"5,526","6,263"
428,2014년09월,은평구,"5,445","5,959"
429,2014년10월,은평구,"6,917","7,433"
430,2014년11월,은평구,"5,739","6,405"
431,2014년12월,은평구,"6,093","6,687"
432,2015년01월,은평구,"5,374","5,316"
433,2015년02월,은평구,"6,057","5,855"
434,2015년03월,은평구,"7,786","7,723"
435,2015년04월,은평구,"6,969","7,274"
436,2015년05월,은평구,"7,085","7,360"
437,2015년06월,은평구,"7,049","7,303"
438,2015년07월,은평구,"6,284","6,548"
439,2015년08월,은평구,"7,761","7,423"
440,2015년09월,은평구,"6,924","7,203"
441,2015년10월,은평구,"7,600","7,999"
442,2015년11월,은평구,"6,876","7,767"
443,2015년12월,은평구,"6,610","7,558"
444,2016년01월,은평구,"5,440","5,868"
445,2016년02월,은평구,"6,318","6,976"
446,2016년03월,은평구,"7,135","7,748"
447,2016년04월,은평구,"6,523","7,234"
448,2016년05월,은평구,"7,179","7,751"
449,2016년06월,은평구,"6,553","7,122"
450,2016년07월,은평구,"5,789","6,267"
451,2016년08월,은평구,"6,211","6,900"
452,2016년09월,은평구,"5,510","6,011"
453,2016년10월,은평구,"6,240","7,038"
454,2016년11월,은평구,"6,186","7,034"
455,2016년12월,은평구,"5,780","6,976"
456,2017년01월,은평구,"4,579","4,920"
457,2017년02월,은평구,"5,880","6,457"
458,2017년03월,은평구,"6,292","7,035"
459,2017년04월,은평구,"5,431","5,663"
460,2017년05월,은평구,"5,948","6,598"
461,2017년06월,은평구,"5,345","6,103"
462,2017년07월,은평구,"5,379","6,131"
463,2017년08월,은평구,"6,906","7,270"
464,2017년09월,은평구,"6,675","6,633"
465,2017년10월,은평구,"5,275","5,523"
466,2017년11월,은평구,"5,515","5,818"
467,2017년12월,은평구,"5,177","5,486"
468,2018년01월,은평구,"4,983","5,253"
469,2018년02월,은평구,"5,392","5,703"
470,2018년03월,은평구,"6,398","6,775"
471,2018년04월,은평구,"5,976","6,318"
472,2018년05월,은평구,"6,006","6,523"
473,2018년06월,은평구,"5,256","5,745"
474,2018년07월,은평구,"4,899","5,602"
475,2018년08월,은평구,"5,510","5,826"
476,2018년09월,은평구,"4,562","4,998"
477,2018년10월,은평구,"6,434","6,422"
478,2018년11월,은평구,"6,579","6,618"
479,2018년12월,은평구,"5,494","5,736"
480,2014년01월,서대문구,"3,122","3,316"
481,2014년02월,서대문구,"4,511","4,532"
482,2014년03월,서대문구,"4,599","4,732"
483,2014년04월,서대문구,"4,113","4,230"
484,2014년05월,서대문구,"3,715","3,921"
485,2014년06월,서대문구,"3,430","3,829"
486,2014년07월,서대문구,"3,516","3,896"
487,2014년08월,서대문구,"3,285","3,757"
488,2014년09월,서대문구,"3,300","3,512"
489,2014년10월,서대문구,"3,933","5,010"
490,2014년11월,서대문구,"3,437","4,300"
491,2014년12월,서대문구,"4,127","4,782"
492,2015년01월,서대문구,"3,471","3,969"
493,2015년02월,서대문구,"4,313","4,815"
494,2015년03월,서대문구,"5,164","5,557"
495,2015년04월,서대문구,"4,285","4,592"
496,2015년05월,서대문구,"3,826","4,523"
497,2015년06월,서대문구,"3,722","4,453"
498,2015년07월,서대문구,"3,675","4,101"
499,2015년08월,서대문구,"3,630","4,202"
500,2015년09월,서대문구,"3,342","3,677"
501,2015년10월,서대문구,"4,165","4,486"
502,2015년11월,서대문구,"8,676","5,668"
503,2015년12월,서대문구,"7,460","5,122"
504,2016년01월,서대문구,"4,992","3,826"
505,2016년02월,서대문구,"6,037","4,723"
506,2016년03월,서대문구,"5,607","4,767"
507,2016년04월,서대문구,"4,724","4,300"
508,2016년05월,서대문구,"5,052","5,218"
509,2016년06월,서대문구,"5,032","5,150"
510,2016년07월,서대문구,"3,787","4,279"
511,2016년08월,서대문구,"4,095","4,720"
512,2016년09월,서대문구,"3,574","4,009"
513,2016년10월,서대문구,"4,107","4,385"
514,2016년11월,서대문구,"3,856","4,315"
515,2016년12월,서대문구,"4,289","4,544"
516,2017년01월,서대문구,"3,809","3,601"
517,2017년02월,서대문구,"5,830","5,351"
518,2017년03월,서대문구,"5,380","5,330"
519,2017년04월,서대문구,"3,977","4,092"
520,2017년05월,서대문구,"4,058","4,348"
521,2017년06월,서대문구,"3,849","3,705"
522,2017년07월,서대문구,"3,581","3,713"
523,2017년08월,서대문구,"4,197","4,391"
524,2017년09월,서대문구,"3,684","4,132"
525,2017년10월,서대문구,"3,247","3,515"
526,2017년11월,서대문구,"3,348","3,970"
527,2017년12월,서대문구,"3,574","4,138"
528,2018년01월,서대문구,"4,140","4,273"
529,2018년02월,서대문구,"5,056","5,032"
530,2018년03월,서대문구,"4,757","5,125"
531,2018년04월,서대문구,"3,651","4,091"
532,2018년05월,서대문구,"3,348","3,729"
533,2018년06월,서대문구,"3,262","3,520"
534,2018년07월,서대문구,"3,211","3,717"
535,2018년08월,서대문구,"3,391","3,634"
536,2018년09월,서대문구,"2,819","2,897"
537,2018년10월,서대문구,"3,660","4,191"
538,2018년11월,서대문구,"4,410","4,240"
539,2018년12월,서대문구,"4,156","4,035"
540,2014년01월,강동구,"4,438","4,899"
541,2014년02월,강동구,"6,164","6,717"
542,2014년03월,강동구,"6,207","6,915"
543,2014년04월,강동구,"6,127","6,950"
544,2014년05월,강동구,"5,990","6,707"
545,2014년06월,강동구,"5,111","5,607"
546,2014년07월,강동구,"5,027","5,982"
547,2014년08월,강동구,"4,858","5,786"
548,2014년09월,강동구,"4,845","5,652"
549,2014년10월,강동구,"6,150","7,075"
550,2014년11월,강동구,"5,474","6,361"
551,2014년12월,강동구,"6,021","6,924"
552,2015년01월,강동구,"4,969","5,823"
553,2015년02월,강동구,"5,533","7,207"
554,2015년03월,강동구,"8,071","10,473"
555,2015년04월,강동구,"6,801","9,303"
556,2015년05월,강동구,"6,678","8,625"
557,2015년06월,강동구,"6,534","9,311"
558,2015년07월,강동구,"5,866","7,859"
559,2015년08월,강동구,"5,726","7,115"
560,2015년09월,강동구,"5,206","6,090"
561,2015년10월,강동구,"6,246","7,583"
562,2015년11월,강동구,"5,777","7,106"
563,2015년12월,강동구,"6,313","7,699"
564,2016년01월,강동구,"5,410","6,398"
565,2016년02월,강동구,"6,397","7,827"
566,2016년03월,강동구,"5,927","7,487"
567,2016년04월,강동구,"5,252","6,632"
568,2016년05월,강동구,"5,939","7,891"
569,2016년06월,강동구,"5,134","6,689"
570,2016년07월,강동구,"4,495","5,451"
571,2016년08월,강동구,"5,477","7,202"
