,기간,자치구,승하차 평균
31,2013년08월,구로구,21112.5
32,2013년09월,구로구,21767.2
33,2013년10월,구로구,23233.0
34,2013년11월,구로구,23714.5
35,2013년12월,구로구,23204.0
36,2014년01월,구로구,49416.5
37,2014년02월,구로구,52400.9
38,2014년03월,구로구,54470.1
39,2014년04월,구로구,55543.1
40,2014년05월,구로구,53286.0
41,2014년06월,구로구,52328.9
42,2014년07월,구로구,53778.6
43,2014년08월,구로구,50413.0
44,2014년09월,구로구,51918.5
45,2014년10월,구로구,54377.8
46,2014년11월,구로구,54061.6
47,2014년12월,구로구,55228.9
48,2015년01월,구로구,42569.9
49,2015년02월,구로구,40920.7
50,2015년03월,구로구,46037.8
51,2015년04월,구로구,46606.0
52,2015년05월,구로구,41022.6
53,2015년06월,구로구,38447.4
54,2015년07월,구로구,39497.9
55,2015년08월,구로구,37649.0
56,2015년09월,구로구,39724.8
57,2015년10월,구로구,41696.3
58,2015년11월,구로구,41453.4
59,2015년12월,구로구,41772.6
60,2016년01월,구로구,49220.4
61,2016년02월,구로구,48457.9
62,2016년03월,구로구,53928.0
63,2016년04월,구로구,53303.9
64,2016년05월,구로구,52552.2
65,2016년06월,구로구,52532.0
66,2016년07월,구로구,50706.2
67,2016년08월,구로구,49460.9
68,2016년09월,구로구,49446.9
69,2016년10월,구로구,51922.4
70,2016년11월,구로구,53245.0
71,2016년12월,구로구,52682.4
72,2017년01월,구로구,47662.1
73,2017년02월,구로구,51841.0
74,2017년03월,구로구,53087.1
75,2017년04월,구로구,52075.2
76,2017년05월,구로구,49988.6
77,2017년06월,구로구,51225.9
78,2017년07월,구로구,48784.6
79,2017년08월,구로구,48024.9
80,2017년09월,구로구,51591.2
81,2017년10월,구로구,45736.8
82,2017년11월,구로구,52253.5
83,2017년12월,구로구,50786.4
84,2018년01월,구로구,48746.8
85,2018년02월,구로구,47329.5
86,2018년03월,구로구,51735.8
87,2018년04월,구로구,51817.6
88,2018년05월,구로구,50648.2
89,2018년06월,구로구,49980.6
90,2018년07월,구로구,49609.4
91,2018년08월,구로구,47641.4
92,2018년09월,구로구,47075.5
93,2018년10월,구로구,51176.5
94,2018년11월,구로구,52434.5
95,2018년12월,구로구,50027.0
0,2011년01월,금천구,27058.3
1,2011년02월,금천구,27236.3
2,2011년03월,금천구,31416.7
3,2011년04월,금천구,31718.3
4,2011년05월,금천구,30507.3
5,2011년06월,금천구,30148.7
6,2011년07월,금천구,28269.3
7,2011년08월,금천구,28113.3
8,2011년09월,금천구,29880.0
9,2011년10월,금천구,30776.7
10,2011년11월,금천구,31989.7
11,2011년12월,금천구,30819.3
12,2012년01월,금천구,68045.0
13,2012년02월,금천구,76834.0
14,2012년03월,금천구,73179.0
15,2012년04월,금천구,72124.0
16,2012년05월,금천구,72906.0
17,2012년06월,금천구,70403.0
18,2012년07월,금천구,70676.0
19,2012년08월,금천구,65396.0
20,2012년09월,금천구,69984.0
21,2012년10월,금천구,72562.0
22,2012년11월,금천구,83809.0
23,2012년12월,금천구,76000.0
24,2013년01월,금천구,82425.0
25,2013년02월,금천구,79461.0
26,2013년03월,금천구,79980.0
27,2013년04월,금천구,84406.0
28,2013년05월,금천구,81352.0
29,2013년06월,금천구,76317.0
30,2013년07월,금천구,81403.0
31,2013년08월,금천구,72570.0
32,2013년09월,금천구,71894.0
33,2013년10월,금천구,81113.0
34,2013년11월,금천구,85988.0
35,2013년12월,금천구,83445.0
36,2014년01월,금천구,79352.0
37,2014년02월,금천구,85822.0
38,2014년03월,금천구,83848.0
39,2014년04월,금천구,86348.0
40,2014년05월,금천구,79154.0
41,2014년06월,금천구,78051.0
42,2014년07월,금천구,83786.0
43,2014년08월,금천구,73629.0
44,2014년09월,금천구,76947.0
45,2014년10월,금천구,82479.0
46,2014년11월,금천구,84251.0
47,2014년12월,금천구,87129.0
48,2015년01월,금천구,42820.5
49,2015년02월,금천구,40568.8
50,2015년03월,금천구,45461.0
51,2015년04월,금천구,46488.8
52,2015년05월,금천구,41561.5
53,2015년06월,금천구,42128.5
54,2015년07월,금천구,43261.8
55,2015년08월,금천구,38992.8
56,2015년09월,금천구,41902.8
57,2015년10월,금천구,44154.5
58,2015년11월,금천구,44867.2
59,2015년12월,금천구,44784.2
60,2016년01월,금천구,80894.0
61,2016년02월,금천구,78370.0
62,2016년03월,금천구,85766.0
63,2016년04월,금천구,82207.0
64,2016년05월,금천구,79328.0
65,2016년06월,금천구,81188.0
66,2016년07월,금천구,78318.0
67,2016년08월,금천구,76104.0
68,2016년09월,금천구,73995.0
69,2016년10월,금천구,78035.0
70,2016년11월,금천구,86025.0
71,2016년12월,금천구,82666.0
72,2017년01월,금천구,76353.0
73,2017년02월,금천구,84249.0
74,2017년03월,금천구,83106.0
75,2017년04월,금천구,79543.0
76,2017년05월,금천구,73553.0
77,2017년06월,금천구,79188.0
78,2017년07월,금천구,76330.0
79,2017년08월,금천구,74345.0
80,2017년09월,금천구,79212.0
81,2017년10월,금천구,64901.0
82,2017년11월,금천구,82913.0
83,2017년12월,금천구,75931.0
84,2018년01월,금천구,79007.0
85,2018년02월,금천구,75255.0
86,2018년03월,금천구,79379.0
87,2018년04월,금천구,80362.0
88,2018년05월,금천구,76915.0
89,2018년06월,금천구,75271.0
90,2018년07월,금천구,79282.0
91,2018년08월,금천구,75569.0
92,2018년09월,금천구,69475.0
93,2018년10월,금천구,80292.0
94,2018년11월,금천구,84949.0
95,2018년12월,금천구,76685.0
0,2011년01월,노원구,17162.0
1,2011년02월,노원구,17211.0
2,2011년03월,노원구,22764.0
3,2011년04월,노원구,22431.3
4,2011년05월,노원구,21772.0
5,2011년06월,노원구,20350.3
